name,type,lat,lng,address,rating,reviews,budget,time_h,mood,description,popular,source
Statue of Unity,Monument,21.838,73.7191,Kelvadiya Kevadia Gujarat,4.7,22800,Premium,3,Cultural,Worlds tallest statue dedicated to Sardar Vallabhbhai Patel.,Yes,TripAdvisor
Rani Ki Vav,Stepwell,23.8583,72.101,Patan Gujarat,4.6,8600,Regular,1.5,Cultural,UNESCO World Heritage Stepwell known for ancient carvings.,Yes,UNESCO
Gir National Park,Wildlife Sanctuary,21.1241,70.8122,Junagadh Gujarat,4.6,15200,Moderate,5,Adventure,Protected home of Asiatic lions with guided safaris.,Yes,Gujarat Tourism
Somnath Temple,Temple,20.8886,70.401,Prabhas Patan Gujarat,4.7,18900,Regular,2.5,Spiritual,Ancient Jyotirlinga temple at the Arabian Sea coast.,Yes,Gujarat Tourism
Modhera Sun Temple,Temple,23.592,72.1335,Modhera Gujarat,4.5,9400,Regular,2,Cultural,11th-century temple showcasing solar architecture.,Yes,Holidify
Saputara, Hill Station,20.551,73.7495,Dang Gujarat,4.4,9700,Moderate,3,Relaxation,The only hill station of Gujarat — lakes,Yes,TripAdvisor
White Rann of Kutch,Desert,23.7333,70.2333,Dhordo Bhuj Gujarat,4.6,10200,Moderate,4,Adventure,Seasonal salt desert famous for Rann Utsav.,Yes,Gujarat Tourism
Polo Forest,Forest,23.654,73.757,Vijaynagar Sabarkantha Gujarat,4.4,2100,Regular,3.5,Relaxation,Historical forest with temples and trekking trails.,No,Google Maps
Dwarkadhish Temple,Temple,22.2446,68.9685,Dwarka Gujarat,4.6,15300,Regular,2.5,Spiritual,Popular Lord Krishna temple in western Gujarat.,Yes,TripAdvisor
Lothal,Archaeological Site,22.5213,72.2488,Bhagatrav Gujarat,4.2,1100,Regular,2,Cultural,Excavated Indus Valley site with museum.,No,Wikipedia
Mandvi Beach,Beach,22.8276,69.3495,Mandvi  Kutch Gujarat,4.3,2400,Regular,2.5,Relaxation,Clean beach with camel rides near Mandvi city.,No,TripAdvisor
Velavadar Blackbuck National Park,Wildlife Sanctuary,21.6007,72.0526,Bhavnagar Gujarat,4.5,1800,Regular,3,Relaxation,Grasslands supporting large blackbuck population.,No,Holidify
Zanzari Waterfall,Waterfall,23.3437,72.7625,Dang District Gujarat,4.3,1050,Regular,2.5,Relaxation,Seasonal waterfall popular during monsoon.,No,TripAdvisor
Dholavira,Archaeological Site,23.886,70.2181,Khadir Bet Gujarat,4.6,980,Regular,3.5,Cultural,UNESCO site of Harappan city ruin and tanks.,No,UNESCO
Indroda Park,Dinosaur and Nature Park,23.0837,72.6573,Gandhinagar Gujarat,4.4,2470,Regular,3,Family,Dinosaur fossils and zoo maintained by forest dept.,Yes,Gujarat Tourism
Wankaner Palace,Palace,22.6252,70.9427,Wankaner Gujarat,4.2,820,Moderate,2,Cultural,Heritage property and royal museum on a hill.,No,Holidify
Kankaria Lake,Lake,23.0062,72.6035,Ahmedabad Gujarat,4.3,5650,Regular,2.5,Family,Amusement park boating zoo and toy train ride,Yes,TripAdvisor
Auto World Vintage Car Museum,Museum,23.0387,72.6368,Dastan Estate Ahmedabad,4.5,3250,Regular,2,Cultural,Collection of rare vintage cars and limousines.,Yes,TripAdvisor
Nal Sarovar Lake,Bird Sanctuary,22.8282,72.0367,Near Sanand Ahmedabad Gujarat,4.3,1450,Regular,3,Relaxation,Boating and flamingo sightings during winter season.,No,Holidify
Champaner-Pavagadh Archaeological Park,UNESCO Site,22.5003,73.5558,Panchmahal Dist Gujarat,4.4,1750,Regular,4,Cultural,Hill fortress ancient ancient temples and stepwells.,Yes,UNESCO
Bhujodi Handicraft Village,Craft Village,23.2203,69.7026,Bhujodi Gujarat,4.6,350,Regular,2,Cultural,Known for Kutchi arts weaving mudcraft,No,Gujarat Tourism
Sunset Point,Viewpoint,20.5501,73.7372,Saputara Hill Gujarat,4.4,950,Regular,1,Relaxation,Famous for panoramic mountain sunset views.,No,Holidify
Junagadh Fort and Uparkot Fort,Fort,21.5222,70.4579,Junagadh Gujarat,4.5,3200,Regular,2.5,Cultural,2000-year-old fort with Buddhist caves.,No,TripAdvisor
Akshardham Temple,Temple,23.2339,72.65,Gandhinagar Gujarat,4.7,18900,Premium,2.5,Spiritual,Large Swaminarayan temple with exhibitions and fountain show.,Yes,Gujarat Tourism
Science City,Museum,23.0916,72.5126,Ahmedabad Gujarat,4.4,2850,Moderate,2.5,Family,Interactive science exhibits IMAX theatre and space gallery,Yes,TripAdvisor
